movie_idx,val,movieId
0,0.4378534094848523,1
1,-0.030378265207496202,2
2,-0.29428944765800447,3
3,-1.396670400038957,4
4,-0.309170400038957,5
5,0.4786382419363515,6
6,-0.2901486609085224,7
7,-0.3538132571818142,8
8,-0.496670400038957,9
9,0.008380105011548178,10
10,0.299247967307982,11
11,-0.934170400038957,12
12,-0.16333706670562353,13
13,0.41242050905195216,14
14,-0.7188926222611793,15
15,0.41602801265945555,16
16,0.23862371760810186,17
17,0.28110737773882066,18
18,-0.8048895781211489,19
19,-1.121670400038957,20
20,-0.05000373337229025,21
21,-0.16908419314240541,22
22,-0.4252418286103854,23
23,-0.44403882109158843,24
24,0.045702481316975074,25
25,0.003329599961042984,26
26,-0.16333706670562353,27
27,0.6144407110721537,28
28,0.567845728993301,29
29,0.503329599961043,30
30,-0.2744481778167347,31
31,0.503329599961043,32
32,0.19082959996104298,34
33,0.39955601505538274,36
34,-1.371670400038957,38
35,-0.22444817781673487,39
36,0.753329599961043,40
37,0.1187142153456584,41
38,-0.496670400038957,42
39,-0.24667040003895702,43
40,-0.9291028324713895,44
41,-0.22080833107343967,45
42,-0.5966704000389571,46
43,0.4606466731317749,47
44,-0.4449462621079223,48
45,-0.496670400038957,49
46,0.7835843770311066,50
47,-0.11571801908657608,52
48,1.503329599961043,53
49,-0.996670400038957,54
50,0.503329599961043,55
51,-0.24667040003895702,57
52,0.5211867428181862,58
53,-0.13000373337229032,60
54,0.20332959996104316,61
55,0.23904388567532875,62
56,-0.8966704000389569,63
57,-0.996670400038957,64
58,-0.9430989714675286,65
59,-0.996670400038957,66
60,0.003329599961042984,68
61,0.284579599961043,69
62,-0.030761309129866188,70
63,-1.746670400038957,71
64,-0.24667040003895702,72
65,0.003329599961042984,73
66,0.6461867428181862,74
67,-1.2966704000389568,75
68,0.12832959996104298,76
69,0.503329599961043,77
70,-0.16333706670562353,78
71,-0.871670400038957,79
72,0.503329599961043,80
73,-0.3043627077312645,81
74,0.4199962666277095,82
75,-0.496670400038957,83
